OrderID,ProductID,UnitPrice,Quantity,Discount (%),OrderDate,ShippedDate,CompanyName,ContactName,ContactTitle,City,Country,LastName,Employee Name,Title,HireDate,City.1,Shipping Company,Gross Revenue,Discount ($),Net Revenue,Days to Ship
10248,11,14.0,12,0.0,1996-07-04,1996-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Buchanan,Steven,Sales Manager,1993-10-17,London,Federal Shipping,168.0,0.0,168.0,12.0
10248,42,9.8,10,0.0,1996-07-04,1996-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Buchanan,Steven,Sales Manager,1993-10-17,London,Federal Shipping,98.00000190734863,0.0,98.00000190734863,12.0
10248,72,34.8,5,0.0,1996-07-04,1996-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Buchanan,Steven,Sales Manager,1993-10-17,London,Federal Shipping,173.99999618530273,0.0,173.99999618530273,12.0
10249,14,18.6,9,0.0,1996-07-05,1996-07-10,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Suyama,Michael,Sales Representative,1993-10-17,London,Speedy Express,167.40000343322754,0.0,167.40000343322754,5.0
10249,51,42.4,40,0.0,1996-07-05,1996-07-10,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Suyama,Michael,Sales Representative,1993-10-17,London,Speedy Express,1696.0000610351562,0.0,1696.0000610351562,5.0
10250,41,7.7,10,0.0,1996-07-08,1996-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Peacock,Margaret,Sales Representative,1993-05-03,Redmond,United Package,76.99999809265137,0.0,76.99999809265137,4.0
10250,51,42.4,35,0.15,1996-07-08,1996-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Peacock,Margaret,Sales Representative,1993-05-03,Redmond,United Package,1484.0000534057617,222.60001685619386,1261.4000365495679,4.0
10250,65,16.8,15,0.15,1996-07-08,1996-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Peacock,Margaret,Sales Representative,1993-05-03,Redmond,United Package,251.9999885559082,37.79999978542321,214.199988770485,4.0
10251,22,16.8,6,0.05,1996-07-08,1996-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Leverling,Janet,Sales Representative,1992-04-01,Kirkland,Speedy Express,100.79999542236328,5.039999846220013,95.75999557614327,7.0
10251,57,15.6,15,0.05,1996-07-08,1996-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Leverling,Janet,Sales Representative,1992-04-01,Kirkland,Speedy Express,234.0000057220459,11.700000460445885,222.3000052616,7.0
10251,65,16.8,20,0.0,1996-07-08,1996-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Leverling,Janet,Sales Representative,1992-04-01,Kirkland,Speedy Express,335.99998474121094,0.0,335.99998474121094,7.0
10252,20,64.8,40,0.05,1996-07-09,1996-07-11,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Peacock,Margaret,Sales Representative,1993-05-03,Redmond,United Package,2592.0001220703125,129.6000080347062,2462.4001140356063,2.0
10252,33,2.0,25,0.05,1996-07-09,1996-07-11,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Peacock,Margaret,Sales Representative,1993-05-03,Redmond,United Package,50.0,2.500000037252903,47.4999999627471,2.0
